TL,TM,TR,ML,MM,MR,BL,BM,BR,class
x,x,x,b,b,o,x,o,o,true
x,x,x,b,b,o,o,x,o,true
x,x,x,b,b,o,o,o,x,true
x,x,x,b,b,o,o,b,b,true
x,x,x,b,b,o,b,o,b,true
x,x,x,b,b,o,b,b,o,true
x,x,x,b,b,b,o,o,b,true
x,x,x,b,b,b,o,b,o,true
x,x,x,b,b,b,b,o,o,true
x,x,o,x,x,o,o,o,x,true
x,x,o,x,o,x,x,o,o,true
x,x,o,x,o,o,x,o,x,true
x,x,o,x,o,o,x,b,b,true
x,x,o,x,o,b,x,o,b,true
x,x,o,x,o,b,x,b,o,true
x,x,o,x,b,o,x,o,b,true
x,x,o,x,b,b,x,o,o,true
x,x,o,o,x,x,o,x,o,true
x,x,o,o,x,x,o,o,x,true
x,x,o,o,x,o,x,o,x,true
x,x,o,o,x,o,o,x,x,true
x,x,o,o,x,o,b,x,b,true
x,x,o,o,x,o,b,b,x,true
x,x,o,o,x,b,o,x,b,true
x,x,o,o,x,b,o,b,x,true
x,x,o,o,x,b,b,x,o,true
x,x,o,o,x,b,b,o,x,true
x,x,o,b,x,o,o,x,b,true
x,x,o,b,x,o,o,b,x,true
x,x,o,b,x,o,b,o,x,true
x,x,o,b,x,b,o,x,o,true
x,x,o,b,x,b,o,o,x,true
x,x,b,x,o,o,x,o,b,true
x,x,b,x,o,o,x,b,o,true
x,x,b,x,o,b,x,o,o,true
x,x,b,x,b,o,x,o,o,true
x,x,b,o,x,o,o,x,b,true
x,x,b,o,x,o,o,b,x,true
x,x,b,o,x,o,b,x,o,true
x,x,b,o,x,o,b,o,x,true
x,x,b,o,x,b,o,x,o,true
x,x,b,o,x,b,o,o,x,true
x,x,b,b,x,o,o,x,o,true
x,x,b,b,x,o,o,o,x,true
x,o,x,x,x,o,x,o,o,true
x,o,x,x,x,o,o,o,x,true
x,o,x,x,o,o,x,x,o,true
x,o,x,x,o,o,x,b,b,true
x,o,x,x,o,b,x,b,o,true
x,o,x,x,b,o,x,o,b,true
x,o,x,x,b,o,x,b,o,true
x,o,x,x,b,b,x,o,o,true
x,o,x,o,x,x,x,o,o,true
x,o,x,o,x,x,o,o,x,true
x,o,x,o,x,o,x,x,o,true
x,o,x,o,x,o,x,o,x,true
x,o,x,o,x,o,x,b,b,true
x,o,x,o,x,o,o,x,x,true
x,o,x,o,x,o,b,b,x,true
x,o,x,o,x,b,x,o,b,true
x,o,x,o,x,b,x,b,o,true
x,o,x,o,x,b,o,b,x,true
x,o,x,o,x,b,b,o,x,true
x,o,x,o,o,x,o,x,x,true
x,o,x,o,o,x,b,b,x,true
x,o,x,o,b,x,o,b,x,true
x,o,x,o,b,x,b,o,x,true
x,o,x,b,x,o,x,o,b,true
x,o,x,b,x,o,x,b,o,true
x,o,x,b,x,o,o,b,x,true
x,o,x,b,x,o,b,o,x,true
x,o,x,b,x,b,x,o,o,true
x,o,x,b,x,b,o,o,x,true
x,o,x,b,o,x,o,b,x,true
x,o,x,b,b,x,o,o,x,true
x,o,o,x,x,x,x,o,o,true
x,o,o,x,x,x,o,x,o,true
x,o,o,x,x,x,o,o,x,true
x,o,o,x,x,x,o,b,b,true
x,o,o,x,x,x,b,o,b,true
x,o,o,x,x,x,b,b,o,true
x,o,o,x,x,o,x,o,x,true
x,o,o,x,x,o,x,b,b,true
x,o,o,x,x,o,o,x,x,true
x,o,o,x,x,o,b,b,x,true
x,o,o,x,x,b,x,o,b,true
x,o,o,x,x,b,x,b,o,true
x,o,o,x,x,b,o,b,x,true
x,o,o,x,x,b,b,o,x,true
x,o,o,x,o,x,x,x,o,true
x,o,o,x,o,x,x,b,b,true
x,o,o,x,o,o,x,x,x,true
x,o,o,x,o,b,x,x,b,true
x,o,o,x,o,b,x,b,x,true
x,o,o,x,b,x,x,o,b,true
x,o,o,x,b,x,x,b,o,true
x,o,o,x,b,o,x,x,b,true
x,o,o,x,b,o,x,b,x,true
x,o,o,x,b,b,x,x,o,true
x,o,o,x,b,b,x,o,x,true
x,o,o,x,b,b,x,b,b,true
x,o,o,o,x,x,x,o,x,true
x,o,o,o,x,x,o,x,x,true
x,o,o,o,x,x,b,b,x,true
x,o,o,o,x,o,x,x,x,true
x,o,o,o,x,b,x,b,x,true
x,o,o,o,x,b,b,x,x,true
x,o,o,o,o,x,x,x,x,true
x,o,o,o,b,b,x,x,x,true
x,o,o,b,x,x,o,b,x,true
x,o,o,b,x,x,b,o,x,true
x,o,o,b,x,o,x,b,x,true
x,o,o,b,x,o,b,x,x,true
x,o,o,b,x,b,x,o,x,true
x,o,o,b,x,b,o,x,x,true
x,o,o,b,x,b,b,b,x,true
x,o,o,b,o,b,x,x,x,true
x,o,o,b,b,o,x,x,x,true
x,o,b,x,x,x,o,o,b,true
x,o,b,x,x,x,o,b,o,true
x,o,b,x,x,x,b,o,o,true
x,o,b,x,x,o,x,o,b,true
x,o,b,x,x,o,x,b,o,true
x,o,b,x,x,o,o,b,x,true
x,o,b,x,x,o,b,o,x,true
x,o,b,x,x,b,x,o,o,true
x,o,b,x,x,b,o,o,x,true
x,o,b,x,o,x,x,b,o,true
x,o,b,x,o,o,x,x,b,true
x,o,b,x,o,o,x,b,x,true
x,o,b,x,o,b,x,x,o,true
x,o,b,x,o,b,x,b,b,true
x,o,b,x,b,x,x,o,o,true
x,o,b,x,b,o,x,x,o,true
x,o,b,x,b,o,x,o,x,true
x,o,b,x,b,o,x,b,b,true
x,o,b,x,b,b,x,o,b,true
x,o,b,x,b,b,x,b,o,true
x,o,b,o,x,x,o,b,x,true
x,o,b,o,x,x,b,o,x,true
x,o,b,o,x,o,x,b,x,true
x,o,b,o,x,o,b,x,x,true
x,o,b,o,x,b,x,o,x,true
x,o,b,o,x,b,o,x,x,true
x,o,b,o,x,b,b,b,x,true
x,o,b,o,o,b,x,x,x,true
x,o,b,o,b,o,x,x,x,true
x,o,b,b,x,x,o,o,x,true
x,o,b,b,x,o,x,o,x,true
x,o,b,b,x,o,o,x,x,true
x,o,b,b,x,o,b,b,x,true
x,o,b,b,x,b,o,b,x,true
x,o,b,b,x,b,b,o,x,true
x,o,b,b,o,o,x,x,x,true
x,b,x,x,o,o,x,o,b,true
x,b,x,x,o,o,x,b,o,true
x,b,x,x,o,b,x,o,o,true
x,b,x,x,b,o,x,o,o,true
x,b,x,o,x,o,x,o,b,true
x,b,x,o,x,o,x,b,o,true
x,b,x,o,x,o,o,b,x,true
x,b,x,o,x,o,b,o,x,true
x,b,x,o,x,b,x,o,o,true
x,b,x,o,x,b,o,o,x,true
x,b,x,o,o,x,o,b,x,true
x,b,x,o,o,x,b,o,x,true
x,b,x,o,b,x,o,o,x,true
x,b,x,b,x,o,x,o,o,true
x,b,x,b,x,o,o,o,x,true
x,b,x,b,o,x,o,o,x,true
x,b,o,x,x,x,o,o,b,true
x,b,o,x,x,x,o,b,o,true
x,b,o,x,x,x,b,o,o,true
x,b,o,x,x,o,x,o,b,true
x,b,o,x,x,o,o,b,x,true
x,b,o,x,x,o,b,o,x,true
x,b,o,x,x,b,x,o,o,true
x,b,o,x,x,b,o,o,x,true
x,b,o,x,o,x,x,o,b,true
x,b,o,x,o,x,x,b,o,true
x,b,o,x,o,o,x,x,b,true
x,b,o,x,o,o,x,b,x,true
x,b,o,x,o,b,x,x,o,true
x,b,o,x,o,b,x,o,x,true
x,b,o,x,o,b,x,b,b,true
x,b,o,x,b,x,x,o,o,true
x,b,o,x,b,o,x,o,x,true
x,b,o,x,b,o,x,b,b,true
x,b,o,x,b,b,x,o,b,true
x,b,o,x,b,b,x,b,o,true
x,b,o,o,x,x,o,b,x,true
x,b,o,o,x,x,b,o,x,true
x,b,o,o,x,o,x,b,x,true
x,b,o,o,x,o,b,x,x,true
x,b,o,o,x,b,x,o,x,true
x,b,o,o,x,b,o,x,x,true
x,b,o,o,x,b,b,b,x,true
x,b,o,o,o,b,x,x,x,true
x,b,o,o,b,o,x,x,x,true
x,b,o,b,x,x,o,o,x,true
x,b,o,b,x,o,x,o,x,true
x,b,o,b,x,o,o,x,x,true
x,b,o,b,x,o,b,b,x,true
x,b,o,b,x,b,o,b,x,true
x,b,o,b,x,b,b,o,x,true
x,b,o,b,o,o,x,x,x,true
x,b,b,x,x,o,x,o,o,true
x,b,b,x,x,o,o,o,x,true
x,b,b,x,o,x,x,o,o,true
x,b,b,x,o,o,x,x,o,true
x,b,b,x,o,o,x,o,x,true
x,b,b,x,o,o,x,b,b,true
x,b,b,x,o,b,x,o,b,true
x,b,b,x,o,b,x,b,o,true
x,b,b,x,b,o,x,o,b,true
x,b,b,x,b,o,x,b,o,true
x,b,b,x,b,b,x,o,o,true
x,b,b,o,x,x,o,o,x,true
x,b,b,o,x,o,x,o,x,true
x,b,b,o,x,o,o,x,x,true
x,b,b,o,x,o,b,b,x,true
x,b,b,o,x,b,o,b,x,true
x,b,b,o,x,b,b,o,x,true
x,b,b,b,x,o,o,b,x,true
x,b,b,b,x,o,b,o,x,true
x,b,b,b,x,b,o,o,x,true
o,x,x,x,x,o,x,o,o,true
o,x,x,x,x,o,o,x,o,true
o,x,x,x,o,x,o,o,x,true
o,x,x,o,x,x,x,o,o,true
o,x,x,o,x,o,x,x,o,true
o,x,x,o,x,o,x,o,x,true
o,x,x,o,x,o,x,b,b,true
o,x,x,o,x,o,b,x,b,true
o,x,x,o,x,b,x,o,b,true
o,x,x,o,x,b,x,b,o,true
o,x,x,o,x,b,b,x,o,true
o,x,x,o,o,x,x,o,x,true
o,x,x,o,o,x,b,b,x,true
o,x,x,o,b,x,b,o,x,true
o,x,x,b,x,o,x,o,b,true
o,x,x,b,x,o,x,b,o,true
o,x,x,b,x,o,o,x,b,true
o,x,x,b,x,o,b,x,o,true
o,x,x,b,x,b,x,o,o,true
o,x,x,b,x,b,o,x,o,true
o,x,x,b,o,x,o,b,x,true
o,x,x,b,o,x,b,o,x,true
o,x,x,b,b,x,o,o,x,true
o,x,o,x,x,x,x,o,o,true
o,x,o,x,x,x,o,x,o,true
o,x,o,x,x,x,o,o,x,true
o,x,o,x,x,x,o,b,b,true
o,x,o,x,x,x,b,o,b,true
o,x,o,x,x,x,b,b,o,true
o,x,o,x,x,o,o,x,x,true
o,x,o,x,x,o,b,x,b,true
o,x,o,x,x,b,o,x,b,true
o,x,o,x,x,b,b,x,o,true
o,x,o,x,o,o,x,x,x,true
o,x,o,o,x,x,x,x,o,true
o,x,o,o,x,x,b,x,b,true
o,x,o,o,x,o,x,x,x,true
o,x,o,o,x,b,x,x,b,true
o,x,o,o,x,b,b,x,x,true
o,x,o,o,o,x,x,x,x,true
o,x,o,o,b,b,x,x,x,true
o,x,o,b,x,x,o,x,b,true
o,x,o,b,x,x,b,x,o,true
o,x,o,b,x,o,x,x,b,true
o,x,o,b,x,o,b,x,x,true
o,x,o,b,x,b,x,x,o,true
o,x,o,b,x,b,o,x,x,true
o,x,o,b,x,b,b,x,b,true
o,x,o,b,o,b,x,x,x,true
o,x,o,b,b,o,x,x,x,true
o,x,b,x,x,x,o,o,b,true
o,x,b,x,x,x,o,b,o,true
o,x,b,x,x,x,b,o,o,true
o,x,b,x,x,o,o,x,b,true
o,x,b,x,x,o,b,x,o,true
o,x,b,x,x,b,o,x,o,true
o,x,b,o,x,x,b,x,o,true
o,x,b,o,x,o,x,x,b,true
o,x,b,o,x,o,b,x,x,true
o,x,b,o,x,b,x,x,o,true
o,x,b,o,x,b,b,x,b,true
o,x,b,o,o,b,x,x,x,true
o,x,b,o,b,o,x,x,x,true
o,x,b,b,x,x,o,x,o,true
o,x,b,b,x,o,x,x,o,true
o,x,b,b,x,o,o,x,x,true
o,x,b,b,x,o,b,x,b,true
o,x,b,b,x,b,o,x,b,true
o,x,b,b,x,b,b,x,o,true
o,x,b,b,o,o,x,x,x,true
o,o,x,x,x,x,x,o,o,true
o,o,x,x,x,x,o,x,o,true
o,o,x,x,x,x,o,o,x,true
o,o,x,x,x,x,o,b,b,true
o,o,x,x,x,x,b,o,b,true
o,o,x,x,x,x,b,b,o,true
o,o,x,x,x,o,x,x,o,true
o,o,x,x,x,o,x,o,x,true
o,o,x,x,x,o,x,b,b,true
o,o,x,x,x,b,x,o,b,true
o,o,x,x,x,b,x,b,o,true
o,o,x,x,o,x,o,x,x,true
o,o,x,x,o,x,b,b,x,true
o,o,x,x,o,o,x,x,x,true
o,o,x,x,b,x,o,b,x,true
o,o,x,x,b,x,b,o,x,true
o,o,x,o,x,x,x,x,o,true
o,o,x,o,x,x,x,o,x,true
o,o,x,o,x,x,x,b,b,true
o,o,x,o,x,x,b,b,x,true
o,o,x,o,x,o,x,x,x,true
o,o,x,o,x,b,x,x,b,true
o,o,x,o,x,b,x,b,x,true
o,o,x,o,o,x,x,x,x,true
o,o,x,o,b,x,x,b,x,true
o,o,x,o,b,x,b,x,x,true
o,o,x,o,b,b,x,x,x,true
o,o,x,b,x,x,x,o,b,true
o,o,x,b,x,x,x,b,o,true
o,o,x,b,x,x,o,b,x,true
o,o,x,b,x,x,b,o,x,true
o,o,x,b,x,o,x,x,b,true
o,o,x,b,x,o,x,b,x,true
o,o,x,b,x,b,x,x,o,true
o,o,x,b,x,b,x,o,x,true
o,o,x,b,x,b,x,b,b,true
o,o,x,b,o,x,x,b,x,true
o,o,x,b,o,x,b,x,x,true
o,o,x,b,o,b,x,x,x,true
o,o,x,b,b,x,x,o,x,true
o,o,x,b,b,x,o,x,x,true
o,o,x,b,b,x,b,b,x,true
o,o,x,b,b,o,x,x,x,true
o,o,b,x,x,x,x,o,b,true
o,o,b,x,x,x,x,b,o,true
o,o,b,x,x,x,o,x,b,true
o,o,b,x,x,x,o,b,x,true
o,o,b,x,x,x,b,x,o,true
o,o,b,x,x,x,b,o,x,true
o,o,b,x,x,x,b,b,b,true
o,o,b,x,o,b,x,x,x,true
o,o,b,x,b,o,x,x,x,true
o,o,b,o,x,b,x,x,x,true
o,o,b,o,b,x,x,x,x,true
o,o,b,b,x,o,x,x,x,true
o,o,b,b,o,x,x,x,x,true
o,o,b,b,b,b,x,x,x,true
o,b,x,x,x,x,o,o,b,true
o,b,x,x,x,x,o,b,o,true
o,b,x,x,x,x,b,o,o,true
o,b,x,x,x,o,x,o,b,true
o,b,x,x,x,o,x,b,o,true
o,b,x,x,x,b,x,o,o,true
o,b,x,x,o,x,o,b,x,true
o,b,x,x,o,x,b,o,x,true
o,b,x,x,b,x,o,o,x,true
o,b,x,o,x,x,x,o,b,true
o,b,x,o,x,x,x,b,o,true
o,b,x,o,x,x,b,o,x,true
o,b,x,o,x,o,x,x,b,true
o,b,x,o,x,o,x,b,x,true
o,b,x,o,x,b,x,x,o,true
o,b,x,o,x,b,x,o,x,true
o,b,x,o,x,b,x,b,b,true
o,b,x,o,o,x,x,b,x,true
o,b,x,o,o,x,b,x,x,true
o,b,x,o,o,b,x,x,x,true
o,b,x,o,b,x,x,o,x,true
o,b,x,o,b,x,b,b,x,true
o,b,x,o,b,o,x,x,x,true
o,b,x,b,x,x,x,o,o,true
o,b,x,b,x,x,o,o,x,true
o,b,x,b,x,o,x,x,o,true
o,b,x,b,x,o,x,o,x,true
o,b,x,b,x,o,x,b,b,true
o,b,x,b,x,b,x,o,b,true
o,b,x,b,x,b,x,b,o,true
o,b,x,b,o,x,x,o,x,true
o,b,x,b,o,x,o,x,x,true
o,b,x,b,o,x,b,b,x,true
o,b,x,b,o,o,x,x,x,true
o,b,x,b,b,x,o,b,x,true
o,b,x,b,b,x,b,o,x,true
o,b,o,x,x,x,x,o,b,true
o,b,o,x,x,x,x,b,o,true
o,b,o,x,x,x,o,x,b,true
o,b,o,x,x,x,o,b,x,true
o,b,o,x,x,x,b,x,o,true
o,b,o,x,x,x,b,o,x,true
o,b,o,x,x,x,b,b,b,true
o,b,o,x,o,b,x,x,x,true
o,b,o,x,b,o,x,x,x,true
o,b,o,o,x,b,x,x,x,true
o,b,o,o,b,x,x,x,x,true
o,b,o,b,x,o,x,x,x,true
o,b,o,b,o,x,x,x,x,true
o,b,o,b,b,b,x,x,x,true
o,b,b,x,x,x,x,o,o,true
o,b,b,x,x,x,o,x,o,true
o,b,b,x,x,x,o,o,x,true
o,b,b,x,x,x,o,b,b,true
o,b,b,x,x,x,b,o,b,true
o,b,b,x,x,x,b,b,o,true
o,b,b,x,o,o,x,x,x,true
o,b,b,o,x,o,x,x,x,true
o,b,b,o,o,x,x,x,x,true
o,b,b,o,b,b,x,x,x,true
o,b,b,b,o,b,x,x,x,true
o,b,b,b,b,o,x,x,x,true
b,x,x,o,x,o,x,o,b,true
b,x,x,o,x,o,x,b,o,true
b,x,x,o,x,o,o,x,b,true
b,x,x,o,x,o,b,x,o,true
b,x,x,o,x,b,x,o,o,true
b,x,x,o,x,b,o,x,o,true
b,x,x,o,o,x,o,b,x,true
b,x,x,o,o,x,b,o,x,true
b,x,x,o,b,x,o,o,x,true
b,x,x,b,x,o,x,o,o,true
b,x,x,b,x,o,o,x,o,true
b,x,x,b,o,x,o,o,x,true
b,x,o,x,x,x,o,o,b,true
b,x,o,x,x,x,o,b,o,true
b,x,o,x,x,x,b,o,o,true
b,x,o,x,x,o,o,x,b,true
b,x,o,x,x,b,o,x,o,true
b,x,o,o,x,x,o,x,b,true
b,x,o,o,x,x,b,x,o,true
b,x,o,o,x,o,x,x,b,true
b,x,o,o,x,o,b,x,x,true
b,x,o,o,x,b,x,x,o,true
b,x,o,o,x,b,o,x,x,true
b,x,o,o,x,b,b,x,b,true
b,x,o,o,o,b,x,x,x,true
b,x,o,o,b,o,x,x,x,true
b,x,o,b,x,x,o,x,o,true
b,x,o,b,x,o,o,x,x,true
b,x,o,b,x,o,b,x,b,true
b,x,o,b,x,b,o,x,b,true
b,x,o,b,x,b,b,x,o,true
b,x,o,b,o,o,x,x,x,true
b,x,b,x,x,o,o,x,o,true
b,x,b,o,x,x,o,x,o,true
b,x,b,o,x,o,x,x,o,true
b,x,b,o,x,o,o,x,x,true
b,x,b,o,x,o,b,x,b,true
b,x,b,o,x,b,o,x,b,true
b,x,b,o,x,b,b,x,o,true
b,x,b,b,x,o,o,x,b,true
b,x,b,b,x,o,b,x,o,true
b,x,b,b,x,b,o,x,o,true
b,o,x,x,x,x,o,o,b,true
b,o,x,x,x,x,o,b,o,true
b,o,x,x,x,x,b,o,o,true
b,o,x,x,x,o,x,o,b,true
b,o,x,x,x,o,x,b,o,true
b,o,x,x,x,b,x,o,o,true
b,o,x,x,o,x,o,b,x,true
b,o,x,x,b,x,o,o,x,true
b,o,x,o,x,x,x,o,b,true
b,o,x,o,x,x,x,b,o,true
b,o,x,o,x,x,o,b,x,true
b,o,x,o,x,x,b,o,x,true
b,o,x,o,x,o,x,x,b,true
b,o,x,o,x,o,x,b,x,true
b,o,x,o,x,b,x,x,o,true
b,o,x,o,x,b,x,o,x,true
b,o,x,o,x,b,x,b,b,true
b,o,x,o,o,x,x,b,x,true
b,o,x,o,o,x,b,x,x,true
b,o,x,o,o,b,x,x,x,true
b,o,x,o,b,x,x,o,x,true
b,o,x,o,b,x,o,x,x,true
b,o,x,o,b,x,b,b,x,true
b,o,x,o,b,o,x,x,x,true
b,o,x,b,x,x,x,o,o,true
b,o,x,b,x,x,o,o,x,true
b,o,x,b,x,o,x,x,o,true
b,o,x,b,x,o,x,o,x,true
b,o,x,b,x,o,x,b,b,true
b,o,x,b,x,b,x,o,b,true
b,o,x,b,x,b,x,b,o,true
b,o,x,b,o,x,o,x,x,true
b,o,x,b,o,x,b,b,x,true
b,o,x,b,o,o,x,x,x,true
b,o,x,b,b,x,o,b,x,true
b,o,x,b,b,x,b,o,x,true
b,o,o,x,x,x,x,o,b,true
b,o,o,x,x,x,x,b,o,true
b,o,o,x,x,x,o,x,b,true
b,o,o,x,x,x,o,b,x,true
b,o,o,x,x,x,b,x,o,true
b,o,o,x,x,x,b,o,x,true
b,o,o,x,x,x,b,b,b,true
b,o,o,x,o,b,x,x,x,true
b,o,o,x,b,o,x,x,x,true
b,o,o,o,x,b,x,x,x,true
b,o,o,o,b,x,x,x,x,true
b,o,o,b,x,o,x,x,x,true
b,o,o,b,o,x,x,x,x,true
b,o,o,b,b,b,x,x,x,true
b,o,b,x,x,x,x,o,o,true
b,o,b,x,x,x,o,x,o,true
b,o,b,x,x,x,o,o,x,true
b,o,b,x,x,x,o,b,b,true
b,o,b,x,x,x,b,o,b,true
b,o,b,x,x,x,b,b,o,true
b,o,b,x,o,o,x,x,x,true
b,o,b,o,x,o,x,x,x,true
b,o,b,o,o,x,x,x,x,true
b,o,b,o,b,b,x,x,x,true
b,o,b,b,o,b,x,x,x,true
b,o,b,b,b,o,x,x,x,true
b,b,x,x,x,o,x,o,o,true
b,b,x,x,o,x,o,o,x,true
b,b,x,o,x,x,x,o,o,true
b,b,x,o,x,x,o,o,x,true
b,b,x,o,x,o,x,x,o,true
b,b,x,o,x,o,x,o,x,true
b,b,x,o,x,o,x,b,b,true
b,b,x,o,x,b,x,o,b,true
b,b,x,o,x,b,x,b,o,true
b,b,x,o,o,x,x,o,x,true
b,b,x,o,o,x,o,x,x,true
b,b,x,o,o,x,b,b,x,true
b,b,x,o,b,x,o,b,x,true
b,b,x,o,b,x,b,o,x,true
b,b,x,b,x,o,x,o,b,true
b,b,x,b,x,o,x,b,o,true
b,b,x,b,x,b,x,o,o,true
b,b,x,b,o,x,o,b,x,true
b,b,x,b,o,x,b,o,x,true
b,b,x,b,b,x,o,o,x,true
b,b,o,x,x,x,x,o,o,true
b,b,o,x,x,x,o,x,o,true
b,b,o,x,x,x,o,o,x,true
b,b,o,x,x,x,o,b,b,true
b,b,o,x,x,x,b,o,b,true
b,b,o,x,x,x,b,b,o,true
b,b,o,x,o,o,x,x,x,true
b,b,o,o,x,o,x,x,x,true
b,b,o,o,o,x,x,x,x,true
b,b,o,o,b,b,x,x,x,true
b,b,o,b,o,b,x,x,x,true
b,b,o,b,b,o,x,x,x,true
b,b,b,x,x,x,o,o,b,true
b,b,b,x,x,x,o,b,o,true
b,b,b,x,x,x,b,o,o,true
b,b,b,o,o,b,x,x,x,true
b,b,b,o,b,o,x,x,x,true
b,b,b,b,o,o,x,x,x,true
x,x,o,x,x,o,o,b,o,false
x,x,o,x,x,o,b,o,o,false
x,x,o,x,x,b,o,o,o,false
x,x,o,x,o,x,o,o,b,false
x,x,o,x,o,x,o,b,o,false
x,x,o,x,o,o,o,x,b,false
x,x,o,x,o,o,o,b,x,false
x,x,o,x,o,o,b,x,o,false
x,x,o,x,o,b,o,x,o,false
x,x,o,x,o,b,o,o,x,false
x,x,o,x,o,b,o,b,b,false
x,x,o,x,b,x,o,o,o,false
x,x,o,x,b,o,o,x,o,false
x,x,o,x,b,o,b,b,o,false
x,x,o,o,x,o,x,b,o,false
x,x,o,o,o,x,o,x,b,false
x,x,o,o,o,x,o,b,x,false
x,x,o,o,o,o,x,x,b,false
x,x,o,o,o,o,x,b,x,false
x,x,o,o,o,o,b,x,x,false
x,x,o,o,o,b,o,x,x,false
x,x,o,o,b,o,x,x,o,false
x,x,o,b,x,x,o,o,o,false
x,x,o,b,x,o,x,o,o,false
x,x,o,b,x,o,b,b,o,false
x,x,o,b,o,x,o,x,o,false
x,x,o,b,o,x,o,o,x,false
x,x,o,b,o,x,o,b,b,false
x,x,o,b,o,o,x,x,o,false
x,x,o,b,o,o,o,x,x,false
x,x,o,b,o,b,o,x,b,false
x,x,o,b,o,b,o,b,x,false
x,x,o,b,b,o,x,b,o,false
x,x,o,b,b,o,b,x,o,false
x,x,b,x,x,o,o,o,o,false
x,x,b,x,o,x,o,o,o,false
x,x,b,x,b,b,o,o,o,false
x,x,b,o,x,x,o,o,o,false
x,x,b,o,o,o,x,x,o,false
x,x,b,o,o,o,x,o,x,false
x,x,b,o,o,o,x,b,b,false
x,x,b,o,o,o,o,x,x,false
x,x,b,o,o,o,b,x,b,false
x,x,b,o,o,o,b,b,x,false
x,x,b,b,x,b,o,o,o,false
x,x,b,b,b,x,o,o,o,false
x,o,x,x,x,b,o,o,o,false
x,o,x,x,o,x,o,o,b,false
x,o,x,x,o,x,b,o,o,false
x,o,x,x,o,o,b,o,x,false
x,o,x,x,o,b,o,o,x,false
x,o,x,x,o,b,b,o,b,false
x,o,x,x,b,x,o,o,o,false
x,o,x,o,o,x,x,o,b,false
x,o,x,o,o,o,x,x,b,false
x,o,x,o,o,o,x,b,x,false
x,o,x,o,o,o,b,x,x,false
x,o,x,o,o,b,x,o,x,false
x,o,x,b,x,x,o,o,o,false
x,o,x,b,o,x,x,o,o,false
x,o,x,b,o,x,b,o,b,false
x,o,x,b,o,o,x,o,x,false
x,o,x,b,o,b,x,o,b,false
x,o,x,b,o,b,b,o,x,false
x,o,o,x,x,o,b,x,o,false
x,o,o,x,o,x,o,x,b,false
x,o,o,x,o,x,o,b,x,false
x,o,o,x,o,x,b,o,x,false
x,o,o,x,o,b,o,x,x,false
x,o,o,b,x,o,x,x,o,false
x,o,o,b,o,x,x,o,x,false
